               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.035852,             0.02205,           0.0015064,             0.89568,             0.85646,             0.91293,             0.62325,            0.029461,            0.013537,           0.0015642,           0.0083319,           0.0083319,           0.0083319
                  36,            0.035585,            0.021961,           0.0014941,             0.90243,             0.85215,              0.9095,             0.62445,            0.029593,            0.013567,           0.0017944,           0.0082394,           0.0082394,           0.0082394
                  37,            0.035726,            0.021626,           0.0014982,             0.90558,             0.84718,             0.91119,             0.63046,            0.029166,            0.013636,           0.0015928,            0.008145,            0.008145,            0.008145
                  38,            0.035595,            0.021915,           0.0014422,              0.9097,             0.85407,             0.91538,             0.63233,            0.029147,            0.013503,           0.0015308,           0.0080488,           0.0080488,           0.0080488
                  39,            0.035325,            0.021467,           0.0014334,             0.91166,              0.8496,             0.91325,             0.62897,            0.029107,            0.013533,           0.0014464,           0.0079509,           0.0079509,           0.0079509
                  40,            0.035046,            0.021643,           0.0014783,             0.90271,             0.85177,             0.91295,              0.6313,            0.028989,            0.013527,           0.0013724,           0.0078512,           0.0078512,           0.0078512
                  41,             0.03542,            0.021471,           0.0015051,             0.89436,             0.85993,              0.9149,               0.635,            0.028964,            0.013459,           0.0014129,             0.00775,             0.00775,             0.00775
                  42,             0.03526,            0.021391,           0.0014122,             0.89622,              0.8593,             0.91359,             0.63352,            0.028838,             0.01346,           0.0014644,           0.0076472,           0.0076472,           0.0076472
                  43,            0.035015,            0.021527,           0.0014329,             0.90235,              0.8563,             0.91315,              0.6352,            0.028874,            0.013492,           0.0016804,            0.007543,            0.007543,            0.007543
                  44,            0.034976,            0.021185,           0.0014156,             0.90793,              0.8577,             0.91579,             0.63546,             0.02881,            0.013471,           0.0015716,           0.0074373,           0.0074373,           0.0074373
                  45,            0.034915,            0.021377,           0.0014112,             0.91257,             0.84369,             0.91315,             0.63679,            0.028669,            0.013451,           0.0016889,           0.0073303,           0.0073303,           0.0073303
                  46,            0.034591,            0.020866,           0.0013639,             0.90579,             0.85331,             0.91612,             0.64092,            0.028524,            0.013393,            0.001523,           0.0072221,           0.0072221,           0.0072221
                  47,            0.034585,            0.021124,            0.001397,             0.90622,             0.85056,             0.91527,             0.64173,            0.028134,            0.013472,            0.001613,           0.0071127,           0.0071127,           0.0071127
                  48,            0.034611,            0.021255,           0.0014079,             0.90847,             0.85139,             0.91508,             0.64189,            0.028337,            0.013482,           0.0016516,           0.0070021,           0.0070021,           0.0070021
                  49,            0.034413,            0.021099,           0.0014004,             0.90941,             0.85383,             0.91701,             0.64351,            0.028329,            0.013443,           0.0016345,           0.0068906,           0.0068906,           0.0068906
                  50,            0.034212,            0.021114,           0.0013587,             0.90579,             0.86033,             0.91903,             0.64809,            0.028028,            0.013307,            0.001304,           0.0067781,           0.0067781,           0.0067781
                  51,            0.034094,            0.020965,           0.0013663,             0.91134,             0.85795,             0.91898,             0.64705,            0.028193,            0.013279,            0.001357,           0.0066647,           0.0066647,           0.0066647
                  52,            0.034231,            0.020832,           0.0013115,               0.898,             0.86684,             0.91716,             0.65119,            0.028079,            0.013347,           0.0014715,           0.0065505,           0.0065505,           0.0065505
                  53,            0.034062,            0.020808,           0.0013687,              0.9026,             0.86235,             0.91914,              0.6496,            0.028085,            0.013366,           0.0013519,           0.0064356,           0.0064356,           0.0064356
                  54,            0.033892,            0.020709,           0.0013179,             0.90512,             0.86258,             0.91938,             0.65197,            0.028007,            0.013339,           0.0012936,           0.0063201,           0.0063201,           0.0063201
                  55,            0.033882,            0.020612,           0.0013333,             0.90418,             0.86131,             0.91975,             0.65366,            0.027929,             0.01334,           0.0013341,            0.006204,            0.006204,            0.006204
                  56,            0.033531,            0.020677,           0.0012959,              0.9045,             0.86298,             0.92041,             0.65311,             0.02791,             0.01339,           0.0013221,           0.0060874,           0.0060874,           0.0060874
                  57,            0.033332,            0.020831,           0.0013156,             0.90624,             0.86175,             0.92026,             0.65202,            0.027898,            0.013378,           0.0015745,           0.0059704,           0.0059704,           0.0059704
                  58,            0.033612,            0.020443,           0.0013036,             0.90679,             0.86359,             0.91917,             0.65382,            0.027684,            0.013459,           0.0013239,           0.0058531,           0.0058531,           0.0058531
                  59,            0.033483,            0.020564,           0.0012693,             0.90769,             0.86431,             0.91821,             0.65406,             0.02762,              0.0135,           0.0012611,           0.0057355,           0.0057355,           0.0057355
                  60,            0.033232,            0.020634,           0.0012709,             0.91309,               0.858,             0.91788,             0.65438,            0.027673,            0.013465,           0.0013769,           0.0056178,           0.0056178,           0.0056178
                  61,            0.033221,            0.020387,            0.001265,             0.90815,             0.86266,             0.91859,             0.65512,            0.027672,            0.013433,           0.0014506,              0.0055,              0.0055,              0.0055
                  62,            0.033205,            0.020141,           0.0012957,             0.91155,             0.85872,             0.91959,             0.65631,            0.027607,             0.01339,           0.0013634,           0.0053822,           0.0053822,           0.0053822
                  63,            0.032975,            0.020355,           0.0012548,             0.91799,             0.85468,             0.91895,             0.65968,            0.027613,            0.013423,           0.0015336,           0.0052645,           0.0052645,           0.0052645
                  64,            0.032963,            0.020245,           0.0012616,             0.92126,             0.85427,             0.91963,             0.66024,            0.027649,            0.013368,           0.0014653,           0.0051469,           0.0051469,           0.0051469
                  65,            0.032727,            0.020019,           0.0012501,             0.91834,             0.85989,             0.92071,             0.66071,            0.027516,            0.013358,           0.0013862,           0.0050296,           0.0050296,           0.0050296
                  66,            0.032736,            0.020075,           0.0012241,             0.91396,             0.86077,             0.91986,             0.65958,            0.027541,            0.013376,           0.0013158,           0.0049126,           0.0049126,           0.0049126
                  67,            0.032846,            0.020305,           0.0012546,             0.91421,             0.86116,             0.91897,             0.65803,            0.027505,            0.013411,           0.0012064,            0.004796,            0.004796,            0.004796
                  68,             0.03251,            0.019742,            0.001217,             0.90777,             0.86944,             0.91933,             0.65947,            0.027497,            0.013448,           0.0014379,           0.0046799,           0.0046799,           0.0046799
                  69,            0.032553,             0.01985,           0.0012059,             0.90783,             0.86739,             0.92018,             0.66212,            0.027366,            0.013419,           0.0013347,           0.0045644,           0.0045644,           0.0045644
                  70,            0.032453,            0.019839,           0.0012275,              0.9185,             0.85594,             0.91891,             0.66198,            0.027376,            0.013427,           0.0014367,           0.0044495,           0.0044495,           0.0044495
                  71,            0.032297,            0.019773,            0.001164,             0.91025,             0.86313,             0.91972,             0.66264,            0.027356,            0.013414,            0.001437,           0.0043353,           0.0043353,           0.0043353
                  72,            0.031877,            0.019496,           0.0011856,              0.9175,             0.85663,             0.91797,             0.66359,             0.02725,            0.013439,           0.0013633,           0.0042219,           0.0042219,           0.0042219
                  73,            0.031881,            0.019535,           0.0011937,             0.92176,             0.85286,             0.91839,             0.66267,            0.027286,            0.013487,           0.0013905,           0.0041094,           0.0041094,           0.0041094
                  74,            0.031817,            0.019658,            0.001213,             0.91365,             0.85891,              0.9181,             0.66284,            0.027296,            0.013534,           0.0013366,           0.0039979,           0.0039979,           0.0039979
                  75,            0.031596,            0.019475,           0.0011324,             0.91728,             0.85687,             0.91961,             0.66389,            0.027305,            0.013524,           0.0013648,           0.0038873,           0.0038873,           0.0038873
                  76,            0.031587,            0.019505,           0.0012103,             0.91225,             0.86221,             0.91955,             0.66495,            0.027259,            0.013508,           0.0013975,           0.0037779,           0.0037779,           0.0037779
                  77,            0.031337,             0.01917,           0.0011299,             0.91594,             0.85675,             0.91972,             0.66511,            0.027299,            0.013519,           0.0014081,           0.0036697,           0.0036697,           0.0036697
