               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038996,             0.03006,           0.0029923,             0.88587,             0.80009,             0.87721,             0.57916,             0.03275,            0.021078,           0.0024509,           0.0093107,           0.0093107,           0.0093107
                  36,            0.038921,            0.030207,           0.0030938,             0.88793,             0.80798,             0.87968,             0.57706,            0.033019,            0.021051,            0.003218,           0.0092706,           0.0092706,           0.0092706
                  37,            0.038661,             0.02976,           0.0030464,              0.8887,             0.80822,             0.88086,             0.58253,            0.032606,            0.020903,           0.0025019,           0.0092294,           0.0092294,           0.0092294
                  38,            0.038872,             0.02994,           0.0029786,             0.88451,             0.80686,             0.87797,              0.5791,            0.032863,            0.021077,           0.0029623,           0.0091872,           0.0091872,           0.0091872
                  39,             0.03855,            0.029849,           0.0028417,             0.89519,             0.81048,             0.88168,             0.58242,            0.032588,            0.020956,            0.003001,            0.009144,            0.009144,            0.009144
                  40,            0.038409,             0.02923,           0.0029291,             0.89706,             0.80124,             0.87712,             0.58118,            0.032592,             0.02106,           0.0031658,           0.0090998,           0.0090998,           0.0090998
                  41,            0.038425,            0.029577,            0.002985,             0.87992,             0.81765,             0.88014,             0.58486,            0.032765,            0.020956,           0.0030909,           0.0090546,           0.0090546,           0.0090546
                  42,            0.038547,            0.029618,           0.0030175,             0.88026,             0.81634,              0.8812,             0.58315,            0.032517,            0.020976,           0.0023248,           0.0090084,           0.0090084,           0.0090084
                  43,            0.038223,            0.029881,           0.0028817,             0.87486,             0.81706,             0.88156,             0.58392,             0.03247,            0.021035,           0.0026379,           0.0089613,           0.0089613,           0.0089613
                  44,            0.038447,            0.029555,           0.0029405,              0.8936,             0.81141,             0.88246,             0.58743,            0.032529,            0.020977,           0.0026152,           0.0089131,           0.0089131,           0.0089131
                  45,            0.038118,            0.028802,           0.0029776,             0.89347,              0.8095,               0.887,             0.58974,            0.032169,            0.020822,           0.0031447,            0.008864,            0.008864,            0.008864
                  46,            0.038416,            0.029928,           0.0030277,             0.89155,             0.80868,             0.88261,              0.5895,            0.032096,            0.020686,           0.0028754,            0.008814,            0.008814,            0.008814
                  47,            0.038117,            0.029403,           0.0029764,             0.89249,             0.80287,             0.88187,             0.59221,             0.03217,               0.021,           0.0026691,            0.008763,            0.008763,            0.008763
                  48,            0.038192,            0.029515,           0.0028068,             0.88239,             0.82257,             0.88556,             0.59303,            0.032033,            0.020729,           0.0026191,           0.0087112,           0.0087112,           0.0087112
                  49,            0.037696,            0.029064,            0.002842,             0.88803,              0.8174,             0.88564,             0.59184,            0.032005,            0.020726,           0.0024299,           0.0086584,           0.0086584,           0.0086584
                  50,            0.037523,            0.029071,           0.0028553,             0.89358,             0.82669,             0.88896,             0.59565,            0.031876,            0.020552,           0.0027703,           0.0086047,           0.0086047,           0.0086047
                  51,            0.037916,             0.02907,           0.0028262,             0.88688,               0.815,             0.88404,             0.59292,             0.03181,            0.020701,           0.0027661,           0.0085502,           0.0085502,           0.0085502
                  52,            0.037766,            0.029421,           0.0027624,             0.88207,             0.81899,             0.88557,             0.59798,            0.031681,            0.020682,           0.0023951,           0.0084948,           0.0084948,           0.0084948
                  53,            0.037618,            0.029457,           0.0028314,             0.88687,             0.82226,              0.8879,             0.59803,            0.031549,            0.020634,           0.0023842,           0.0084385,           0.0084385,           0.0084385
